pos_xy,00:0f:a3:39:dd:cd,00:0f:a3:39:e1:c0,00:14:bf:3b:c7:c6,00:14:bf:b1:97:81,00:14:bf:b1:97:8a,00:14:bf:b1:97:8d,00:14:bf:b1:97:90
0.0-0.0,-71.73374613003097,-52.35928143712575,-66.37012987012987,-63.19557195571956,-35.57190635451505,-64.32295719844358,-55.3598615916955
0.0-1.0,-70.4858934169279,-52.981818181818184,-65.35880398671097,-63.69741697416974,-39.26158940397351,-65.44186046511628,-59.10958904109589
0.0-10.0,-70.19426751592357,-56.33738601823708,-65.61290322580645,-69.23735408560312,-44.705298013245034,-66.89495798319328,-50.37630662020906
0.0-11.0,-70.31460674157303,-54.72644376899696,-67.10791366906474,-70.30740740740741,-48.36678200692042,-66.74708171206225,-54.93150684931507
0.0-12.0,-68.76315789473684,-56.03030303030303,-70.42238267148015,-72.34420289855072,-44.88175675675676,-66.70731707317073,-50.48620689655172
0.0-13.0,-73.6655172413793,-54.551515151515154,-71.18954248366013,-72.60791366906474,-43.34532374100719,-68.72444444444444,-54.4140350877193
0.0-2.0,-70.8858024691358,-54.566265060240966,-61.18213058419244,-62.505836575875485,-44.01294498381877,-60.25187969924812,-53.00684931506849
0.0-3.0,-70.45121951219512,-55.160606060606064,-61.522968197879855,-55.6231884057971,-42.21666666666667,-62.7410071942446,-53.836363636363636
0.0-4.0,-67.53915662650603,-51.160606060606064,-65.13803680981596,-61.12367491166078,-40.041666666666664,-61.341911764705884,-52.41197183098591
0.0-7.0,-67.26182965299685,-54.93051359516616,-66.5993031358885,-64.40466926070039,-45.009771986970684,-53.73106060606061,-58.66914498141264
0.0-8.0,-67.32594936708861,-54.11854103343465,-67.26071428571429,-64.2840909090909,-46.914556962025316,-55.70357142857143,-54.0985401459854
0.0-9.0,-65.30944625407166,-50.61515151515152,-67.22939068100358,-66.45418326693228,-45.541528239202655,-61.41312741312741,-50.24067796610169
1.0-0.0,-66.60060975609755,-50.512121212121215,-63.95053003533569,-66.32442748091603,-32.31596091205212,-64.58545454545454,-56.263888888888886
1.0-1.0,-68.49544072948328,-55.18484848484849,-63.41726618705036,-66.65789473684211,-38.2312925170068,-68.12109375,-53.42567567567568
1.0-10.0,-68.79310344827586,-56.36363636363637,-68.62848297213623,-73.16730038022814,-44.62207357859532,-65.37743190661479,-51.72240802675585
1.0-11.0,-71.22292993630573,-53.7969696969697,-68.2443729903537,-69.23552123552123,-46.40418118466899,-64.36575875486382,-51.79672131147541
1.0-12.0,-67.47569444444444,-55.3969696969697,-70.39603960396039,-70.19622641509434,-47.31456953642384,-70.844,-50.71704180064309
1.0-13.0,-71.50704225352112,-58.03333333333333,-70.25089605734767,-74.30196078431372,-40.40816326530612,-69.88607594936708,-45.50809061488673
1.0-2.0,-66.09375,-55.48780487804878,-63.47766323024055,-60.50188679245283,-39.591503267973856,-62.46768060836502,-55.833333333333336
1.0-3.0,-70.5776397515528,-55.006079027355625,-62.89605734767025,-54.95220588235294,-39.32343234323432,-57.68127490039841,-56.90592334494774
1.0-4.0,-68.91167192429022,-51.336363636363636,-62.907534246575345,-58.81923076923077,-44.713815789473685,-59.81368821292776,-55.754448398576514
1.0-5.0,-68.12576687116564,-51.61212121212121,-64.13240418118467,-64.21538461538462,-41.1063122923588,-63.44961240310077,-56.007168458781365
1.0-6.0,-66.95,-48.64545454545455,-64.17586206896551,-62.92910447761194,-48.21568627450981,-60.4251012145749,-55.23287671232877
1.0-7.0,-66.11111111111111,-53.21987951807229,-64.50526315789473,-62.13095238095238,-45.87581699346405,-52.46530612244898,-52.487632508833926
1.0-8.0,-67.6867088607595,-51.74096385542169,-65.2218045112782,-63.79012345679013,-46.72093023255814,-51.51136363636363,-51.085808580858085
1.0-9.0,-66.63665594855306,-52.833333333333336,-66.49128919860627,-64.93032786885246,-47.76140350877193,-63.170731707317074,-49.52131147540984
10.0-3.0,-65.78787878787878,-47.72121212121212,-51.63214285714286,-50.01086956521739,-60.13167259786477,-55.96739130434783,-67.53676470588235
10.0-4.0,-65.74143302180686,-49.372727272727275,-49.83955223880597,-52.550561797752806,-58.17605633802817,-56.32,-70.0867924528302
10.0-5.0,-61.97734627831715,-46.07575757575758,-50.20955882352941,-54.21641791044776,-56.37243401759531,-58.359073359073356,-69.19246861924687
10.0-6.0,-63.87888198757764,-45.015151515151516,-52.492805755395686,-59.094339622641506,-59.45783132530121,-58.10181818181818,-66.43609022556392
10.0-7.0,-60.038585209003216,-46.378787878787875,-52.003690036900366,-60.6796875,-60.58064516129032,-52.01831501831502,-70.64044943820225
10.0-8.0,-59.35064935064935,-43.98489425981873,-55.46289752650177,-60.737037037037034,-59.21639344262295,-50.021126760563384,-66.39382239382239
11.0-3.0,-65.63175675675676,-51.297872340425535,-46.872727272727275,-52.60769230769231,-60.855633802816904,-58.52272727272727,-68.82377049180327
11.0-4.0,-66.48867313915858,-50.29483282674772,-50.730909090909094,-53.5634328358209,-56.47385620915033,-60.159533073929964,-71.31343283582089
11.0-5.0,-62.5920245398773,-50.875,-51.313653136531364,-62.79282868525896,-59.461309523809526,-58.03284671532847,-64.72340425531915
11.0-6.0,-62.74766355140187,-43.26139817629179,-51.34494773519164,-60.92481203007519,-55.99404761904762,-55.687747035573125,-72.07633587786259
11.0-7.0,-60.75986842105263,-46.67272727272727,-47.474708171206224,-59.23170731707317,-58.10891089108911,-50.06785714285714,-70.59274193548387
11.0-8.0,-65.25,-49.087878787878786,-54.44055944055944,-59.2043795620438,-60.19375,-49.708333333333336,-67.0896551724138
12.0-3.0,-69.375,-53.73860182370821,-47.23508771929824,-49.605947955390334,-60.82315112540193,-58.432432432432435,-70.33333333333333
12.0-4.0,-69.56645569620254,-47.88181818181818,-47.14695340501792,-53.71647509578544,-59.251633986928105,-56.908088235294116,-69.46402877697842
12.0-5.0,-68.26198083067092,-49.37230769230769,-53.075268817204304,-58.97802197802198,-58.07051282051282,-59.325490196078434,-70.01838235294117
12.0-6.0,-66.75747508305648,-49.415151515151514,-49.872727272727275,-60.70445344129555,-56.57471264367816,-58.24907063197026,-69.34412955465586
12.0-7.0,-63.009803921568626,-51.61702127659574,-52.55755395683453,-56.2890625,-56.648387096774194,-45.3731884057971,-67.80165289256199
12.0-8.0,-61.5607476635514,-51.472727272727276,-53.34563758389262,-59.254980079681275,-58.14545454545455,-47.377162629757784,-68.79477611940298
13.0-3.0,-70.04195804195804,-51.65853658536585,-51.02214022140221,-50.39350180505415,-58.714285714285715,-56.24817518248175,-69.54655870445345
13.0-4.0,-69.85454545454546,-48.38787878787879,-46.003533568904594,-52.972972972972975,-58.074675324675326,-58.446280991735534,-66.1622641509434
13.0-5.0,-66.61144578313252,-50.67272727272727,-47.716981132075475,-58.56390977443609,-55.461794019933556,-58.97348484848485,-70.35849056603773
13.0-6.0,-68.01273885350318,-49.86666666666667,-51.96336996336996,-59.60223048327138,-55.70175438596491,-59.278985507246375,-67.15830115830116
13.0-7.0,-68.45253164556962,-48.666666666666664,-50.51750972762646,-56.29457364341085,-57.220238095238095,-49.786941580756015,-69.66287878787878
13.0-8.0,-62.483383685800604,-51.01823708206687,-55.45387453874539,-59.58245614035088,-59.34177215189873,-50.854609929078016,-68.22307692307692
14.0-3.0,-70.65573770491804,-54.515337423312886,-55.30072463768116,-47.24054982817869,-59.51923076923077,-59.152727272727276,-74.69662921348315
14.0-7.0,-69.5375939849624,-51.39692307692307,-50.75912408759124,-57.641129032258064,-58.39350180505415,-42.12982456140351,-69.71428571428571
14.0-8.0,-64.56957928802589,-52.93009118541033,-48.78776978417266,-58.019762845849804,-57.081272084805654,-50.156716417910445,-73.74025974025975
15.0-3.0,-73.40065146579805,-55.57575757575758,-56.239285714285714,-48.83587786259542,-62.61071428571429,-57.17760617760618,-72.55797101449275
15.0-7.0,-66.47297297297297,-52.71646341463415,-54.37307692307692,-57.57992565055762,-60.14521452145215,-46.6937984496124,-72.55686274509804
15.0-8.0,-67.42524916943522,-52.015197568389056,-53.242753623188406,-56.7992277992278,-61.02033898305085,-49.333333333333336,-74.73275862068965
16.0-3.0,-71.02333333333333,-54.72727272727273,-58.074074074074076,-47.67870036101083,-63.53191489361702,-56.22794117647059,-74.13157894736842
16.0-7.0,-70.45614035087719,-53.19756838905775,-50.357142857142854,-53.21804511278196,-59.270270270270274,-47.00714285714286,-73.73015873015873
16.0-8.0,-69.63667820069205,-53.17272727272727,-54.2453531598513,-59.932126696832576,-59.9198606271777,-47.72075471698113,-75.39910313901345
17.0-3.0,-74.90784982935153,-54.693939393939395,-56.71478873239437,-52.87455197132616,-61.87328767123287,-56.00711743772242,-73.71936758893281
17.0-7.0,-71.94612794612794,-53.61818181818182,-58.34074074074074,-55.00375939849624,-61.44290657439446,-44.39383561643836,-75.3305785123967
17.0-8.0,-76.26408450704226,-55.472727272727276,-55.146153846153844,-54.266949152542374,-59.40959409594096,-49.407407407407405,-74.41975308641975
18.0-3.0,-77.50526315789473,-56.96060606060606,-55.73021582733813,-48.24825174825175,-64.82867132867133,-56.73207547169811,-75.81521739130434
18.0-7.0,-71.84364820846906,-55.11585365853659,-63.46236559139785,-58.64367816091954,-64.96969696969697,-45.27368421052632,-73.5421686746988
18.0-8.0,-71.54220779220779,-55.1,-59.92605633802817,-57.65758754863813,-61.29929577464789,-48.370370370370374,-76.28813559322033
19.0-3.0,-77.71974522292993,-58.38601823708207,-58.85925925925926,-48.26923076923077,-61.8021978021978,-54.59498207885304,-75.62857142857143
19.0-7.0,-70.33676975945018,-52.38787878787879,-61.278745644599304,-58.095238095238095,-57.833333333333336,-49.15750915750916,-73.76045627376426
19.0-8.0,-76.4967105263158,-55.75454545454546,-60.86496350364963,-54.82608695652174,-59.37847222222222,-47.88768115942029,-75.71900826446281
2.0-0.0,-71.77884615384616,-54.70909090909091,-64.2572347266881,-67.13888888888889,-32.564784053156146,-65.44787644787645,-59.46511627906977
2.0-1.0,-71.9969512195122,-52.75151515151515,-64.30322580645161,-64.0375939849624,-37.19155844155844,-61.16988416988417,-53.93214285714286
2.0-10.0,-65.49169435215947,-51.957703927492446,-65.67084639498432,-66.41509433962264,-41.9046052631579,-64.3686274509804,-49.42857142857143
2.0-11.0,-68.89285714285714,-54.7629179331307,-67.44101123595506,-69.84555984555985,-43.744827586206895,-68.25475285171103,-46.774647887323944
2.0-12.0,-72.65806451612903,-55.7939393939394,-70.74350649350649,-72.46268656716418,-46.25084745762712,-67.4566037735849,-44.73968253968254
2.0-13.0,-74.88853503184713,-54.89665653495441,-67.83977900552486,-74.96103896103897,-44.382252559726965,-68.8695652173913,-45.56
2.0-2.0,-63.157575757575756,-50.82727272727273,-63.68613138686131,-62.71062271062271,-40.66346153846154,-64.81090909090909,-50.6
2.0-3.0,-68.38601823708207,-57.36666666666667,-61.339416058394164,-57.44656488549618,-40.55821917808219,-60.34814814814815,-55.44636678200692
2.0-4.0,-66.14873417721519,-56.171779141104295,-61.492805755395686,-62.154761904761905,-40.57432432432432,-59.684615384615384,-53.635416666666664
2.0-5.0,-69.50986842105263,-52.319148936170215,-64.1195652173913,-66.41832669322709,-46.2108843537415,-60.8503937007874,-58.27472527472528
2.0-6.0,-65.5060606060606,-52.88484848484848,-65.2723880597015,-62.77037037037037,-43.54304635761589,-60.865671641791046,-49.019867549668874
2.0-7.0,-64.26959247648902,-50.963746223564954,-66.39799331103679,-63.18283582089552,-45.59027777777778,-51.89230769230769,-56.56934306569343
2.0-8.0,-60.72549019607843,-53.47878787878788,-65.48540145985402,-61.23529411764706,-47.51546391752577,-54.238267148014444,-48.744897959183675
2.0-9.0,-66.409375,-54.702127659574465,-66.20364741641338,-68.67708333333333,-48.197916666666664,-61.57564575645756,-48.111486486486484
20.0-3.0,-77.32608695652173,-57.54103343465046,-59.71678321678322,-46.26171875,-65.81506849315069,-56.70979020979021,-76.79496402877697
20.0-7.0,-71.55485893416927,-57.43465045592705,-59.888888888888886,-56.027027027027025,-63.11913357400722,-49.13978494623656,-76.05597014925372
20.0-8.0,-75.67235494880546,-55.62613981762918,-59.205128205128204,-51.605947955390334,-68.5952380952381,-48.36727272727273,-77.83944954128441
21.0-3.0,-78.98165137614679,-60.80909090909091,-61.20890410958904,-48.879858657243815,-62.43272727272727,-54.435374149659864,-77.90780141843972
21.0-4.0,-76.39939024390245,-59.191489361702125,-63.95205479452055,-46.92198581560284,-66.16923076923077,-52.28013029315961,-78.82509505703422
21.0-5.0,-78.04501607717042,-59.52279635258358,-61.713235294117645,-49.62921348314607,-67.23076923076923,-49.17343173431734,-78.86832740213524
21.0-6.0,-76.70568561872909,-57.78787878787879,-64.33453237410072,-53.617543859649125,-68.23049645390071,-45.46268656716418,-78.16666666666667
