pos_xy,00:0f:a3:39:dd:cd,00:0f:a3:39:e1:c0,00:14:bf:3b:c7:c6,00:14:bf:b1:97:81,00:14:bf:b1:97:8a,00:14:bf:b1:97:8d,00:14:bf:b1:97:90
0.0-0.05,-63.19266055045872,-52.22727272727273,-62.94897959183673,-61.81395348837209,-40.06896551724138,-63.05434782608695,-55.233333333333334
0.15-9.42,-66.11926605504587,-55.27522935779817,-73.96190476190476,-72.70103092783505,-47.56603773584906,-69.45454545454545,-46.88
0.31-11.09,-67.02912621359224,-51.70909090909091,-70.0625,-70.0989010989011,-54.088235294117645,-69.13157894736842,-53.88659793814433
0.47-8.2,-74.13636363636364,-49.5,-64.27173913043478,-72.59770114942529,-45.65289256198347,-60.79746835443038,-49.3469387755102
0.78-10.94,-71.47,-53.263636363636365,-66.96,-66.81927710843374,-48.41379310344828,-65.0,-54.824742268041234
0.93-11.69,-70.17777777777778,-57.96363636363636,-70.54807692307692,-70.52564102564102,-43.66346153846154,-65.59302325581395,-47.270833333333336
1.08-12.19,-73.43636363636364,-54.82727272727273,-69.20192307692308,-67.92553191489361,-52.00819672131148,-71.58695652173913,-51.666666666666664
1.24-3.93,-71.08490566037736,-56.472727272727276,-69.62745098039215,-59.76136363636363,-38.91752577319588,-71.66666666666667,-53.233333333333334
1.39-6.61,-59.75675675675676,-51.28181818181818,-62.23913043478261,-64.5679012345679,-48.923809523809524,-60.7979797979798,-50.490566037735846
1.52-9.32,-65.42574257425743,-50.36697247706422,-63.366336633663366,-67.48913043478261,-50.041666666666664,-65.09302325581395,-49.385416666666664
1.55-0.96,-68.06481481481481,-49.177570093457945,-66.06818181818181,-57.69318181818182,-42.99038461538461,-63.526315789473685,-50.04
1.58-5.26,-72.00934579439253,-50.58181818181818,-64.66666666666667,-57.427083333333336,-40.509803921568626,-61.977777777777774,-62.455555555555556
1.71-1.81,-65.6082474226804,-54.27272727272727,-61.757894736842104,-66.12087912087912,-37.01,-64.33720930232558,-53.27450980392157
1.86-8.08,-66.74528301886792,-54.38532110091743,-62.06382978723404,-62.98795180722892,-50.58252427184466,-51.38461538461539,-49.96078431372549
10.23-6.88,-57.654545454545456,-45.836363636363636,-58.294736842105266,-59.21348314606742,-58.57142857142857,-50.104166666666664,-67.5609756097561
10.46-5.8,-64.90291262135922,-44.527272727272724,-52.602409638554214,-57.56382978723404,-58.17204301075269,-58.74444444444445,-65.35227272727273
10.62-3.87,-66.44545454545455,-48.10909090909091,-45.98039215686274,-46.01111111111111,-59.403361344537814,-61.27272727272727,-68.40697674418605
10.99-7.19,-61.035714285714285,-44.75454545454546,-49.816326530612244,-56.662921348314605,-56.387387387387385,-55.7816091954023,-66.21428571428571
11.39-5.0,-64.31531531531532,-54.018181818181816,-48.89010989010989,-59.764044943820224,-58.79047619047619,-58.357894736842105,-74.37078651685393
11.76-7.76,-65.18095238095238,-48.472727272727276,-54.76767676767677,-59.32967032967033,-57.10891089108911,-54.22549019607843,-67.02941176470588
12.16-5.25,-69.2,-52.30275229357798,-49.903614457831324,-59.160493827160494,-52.58620689655172,-56.691489361702125,-67.09876543209876
12.18-3.4,-65.15533980582525,-50.25454545454546,-45.47727272727273,-55.191489361702125,-59.09574468085106,-60.808510638297875,-76.47674418604652
12.26-6.72,-57.22429906542056,-51.663636363636364,-50.56818181818182,-58.853932584269664,-56.63636363636363,-46.177083333333336,-68.67021276595744
