"","empty","rank","division/total","first_name","surname","age","hometown1","hometown2","time","pace"
"V1","","1","1/1683","Jane","Omoro","26","Kenya","0","53:37","5:22"
"V11","","2","2/1683","Jane","Ngotho","29","Kenya","0","53:38","5:22"
"V12","","3","0","Lidiya","Grigoryeva","0","Russia","0","53:40","5:22"
"V13","","4","3/1683","Eunice","Sagero","20","Kenya","0","53:55","5:24"
"V14","","5","4/1683","Alla","Zhilyayeva","29","Russia","0","54:08","5:25"
"V15","","6","5/1683","Teresa","Wanjiku","24","Kenya","0","54:10","5:25"
"V16","","7","6/1683","Elana","Viazova","38","Ukraine","0","54:29","5:27"
"V17","","8","0","Gladys","Asiba","0","Kenya","0","54:50","5:29"
"V18","","9","7/1683","Nnenna","Lynch","27","Concord","MA","55:39","5:34"
"V19","","10","8/1683","Margaret","Kagiri","30","Kenya","0","55:43","5:35"
"V110","","11","9/1683","Susannah","Beck","30","Eugene","OR","56:13","5:38"
"V111","","12","10/1683","Kelly","Keeler","37","Bloomington","MN","57:23","5:45"
"V112","","13","11/1683","Marie","Boyd","39","Albuquerque","NM","57:24","5:45"
"V113","","14","12/1683","Betsy","Kempter","32","Chapel Hill","NC","57:51","5:48"
"V114","","15","13/1683","Naoko","Ishibe","30","Washington","DC","58:05","5:49"
"V115","","16","14/1683","Bea","Marie Altieri","Altieri","Columbia","MD","58:36","5:52"
"V116","","17","0","Connie","Buckwalter","0","Lancaster","PA","59:36","5:58"
"V117","","18","15/1683","Sharon","Servidio","25","Alexandria","VA","59:42","5:59"
"V118","","19","16/1683","Donna","Moore","38","Silver Spring","MD","59:48","5:59"
"V119","","20","17/1683","Marian","Huizing","31","Rockville","MD","1:00:30","6:03"
"V120","","21","18/1683","Martha","Merz","36","Annandale","VA","1:00:32","6:04"
"V121","","22","19/1683","Wendy","Nelson-Barett","30","Lebanon","PA","1:00:43","6:05"
"V122","","23","1/306","Patti","Shull","40","Ashburn","VA","1:00:47","6:05"
"V123","","24","20/1683","Anita","Freres","34","Rockville","MD","1:01:04","6:07"
"V124","","25","21/1683","Kate","Petricone","37","Winsted","CT","1:01:59","6:12"
"V125","","26","22/1683","Jennifer","Janis","29","Malvern","PA","1:02:07","6:13"
"V126","","27","23/1683","Christina","Heming","34","Shorewood","WI","1:02:12","6:14"
"V127","","28","24/1683","Patty","Fulton","33","Silver Spring","MD","1:02:16","6:14"
"V128","","29","25/1683","Nancy","Watkins","30","Stafford","VA","1:02:28","6:15"
"V129","","30","26/1683","Kirsten","Black","24","Arlington","VA","1:02:45","6:17"
"V130","","31","27/1683","Dorian","Meyer","39","Rumson","NJ","1:02:51","6:18"
"V131","","32","28/1683","Karen","Oudekerk","31","Arlington","VA","1:03:01","6:19"
"V132","","33","29/1683","Anne","Britt","34","Summit","NJ","1:03:10","6:19"
"V133","","34","30/1683","Denise","Knickman","30","Baltimore","MD","1:03:31","6:22"
"V134","","35","31/1683","Cecily","Tynan","30","Philadelphia","PA","1:03:33","6:22"
"V135","","36","32/1683","Leslie","Minnix-Wolfe","37","Reston","VA","1:03:53","6:24"
"V136","","37","33/1683","Meg","Ritter","25","Richmond","VA","1:03:56","6:24"
"V137","","38","2/306","Debi","Bernardes","40","King George","VA","1:04:15","6:26"
"V138","","39","3/306","Linda","Wack","43","Germantown","MD","1:05:01","6:31"
"V139","","40","34/1683","Patricia","Keating","37","Clarksville","MD","1:05:17","6:32"
"V140","","41","35/1683","Jenny","Caple","33","Westminster","MD","1:05:20","6:32"
"V141","","42","1/115","Rose","Malloy","50","Annapolis","MD","1:05:28","6:33"
"V142","","43","36/1683","Janet","Murray","36","Washington","DC","1:05:34","6:34"
"V143","","44","37/1683","Joan","Fowler","39","Silver Spring","MD","1:05:50","6:35"
"V144","","45","38/1683","Lisa","Lipke","23","Alexandria","VA","1:05:51","6:36"
"V145","","46","4/306","Margaret","Starnes","44","Street","MD","1:06:09","6:37"
"V146","","47","39/1683","Barb","Willig","36","Kingsville","MD","1:06:27","6:39"
"V147","","48","40/1683","Christy","Muldoon","27","Washington","DC","1:06:34","6:40"
"V148","","49","41/1683","Philippa","Wellborn","35","Potomac","MD","1:06:37","6:40"
"V149","","50","42/1683","Julie","Hankin","34","West Chester","PA","1:06:42","6:41"
"V150","","51","43/1683","Tammy","Shell","26","Uniontown","PA","1:07:37","6:46"
"V151","","52","44/1683","Julie","Gibbons","30","Fairfax","VA","1:07:41","6:47"
"V152","","53","45/1683","Robyn","Humphrey","35","Ellicott City","MD","1:07:46","6:47"
"V153","","54","46/1683","Maria","Kozloski","34","Washington","DC","1:07:48","6:47"
"V154","","55","5/306","Donna","Lewis","44","Bel Air","MD","1:08:06","6:49"
"V155","","56","6/306","Joanne","Collins","40","Westlake","OH","1:08:09","6:49"
"V156","","57","47/1683","Kristin","Bremer","27","Baltimore","MD","1:08:19","6:50"
"V157","","58","7/306","Carolyn","Eich","40","Syracuse","NY","1:08:23","6:51"
"V158","","59","48/1683","Vicki","Lane","30","Columbia","MD","1:08:25","6:51"
"V159","","60","49/1683","Karen","Ward","27","Gaithersburg","MD","1:08:29","6:51"
