index_id,survived,passenger_class,name,sex,age,siblings_spouse_aboard,parents_children_aboard,purchase_fare,original_fare_value,total_passengers
ri_000001,0,3,Mr. Owen Harris Braund,male,22,,0,7.25,8.6275,2
ri_000002,1,1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,,38,1,0,71.2833,81.263,2
ri_000003,1,3,Miss. Laina Heikkinen,,26,0,0,7.925,9.3515,
ri_000004,1,1,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35,1,0,,63.72,2
ri_000005,0,3,Mr. William Henry Allen,,,0,0,,8.9355,1
ri_000006,0,3,Mr. James Moran,,27,,0,8.4583,9.6425,1
ri_000007,0,1,Mr. Timothy J McCarthy,male,,,0,51.8625,57.0488,1
ri_000008,0,3,Master. Gosta Leonard Palsson,,2,,1,21.075,24.8685,5
ri_000009,1,3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,,0,2,11.1333,12.358,3
ri_000010,1,2,Mrs. Nicholas (Adele Achem) Nasser,female,,,0,30.0708,33.3786,2
ri_000011,1,3,Miss. Marguerite Rut Sandstrom,female,4,1,1,16.7,19.372,3
ri_000012,1,1,Miss. Elizabeth Bonnell,,,0,0,26.55,30.798,1
ri_000013,0,3,Mr. William Henry Saundercock,male,20,0,0,8.05,8.9355,1
ri_000014,0,,Mr. Anders Johan Andersson,male,39,1,5,,35.6535,7
ri_000015,0,,Miss. Hulda Amanda Adolfina Vestrom,female,14,0,0,,8.7967,1
ri_000016,1,,Mrs. (Mary D Kingcome) Hewlett,female,55,0,0,16,18.08,1
ri_000017,0,,Master. Eugene Rice,male,2,4,1,29.125,33.785,6
ri_000018,1,,Mr. Charles Eugene Williams,male,23,0,0,13,14.56,1
ri_000019,0,3,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31,,0,18,20.88,2
ri_000020,1,3,Mrs. Fatima Masselmani,female,22,0,,7.225,8.381,
ri_000021,0,2,Mr. Joseph J Fynney,,35,,0,26,29.64,1
ri_000022,1,2,Mr. Lawrence Beesley,male,34,0,0,13,15.08,
ri_000023,1,3,Miss. Anna McGowan,,15,,0,8.0292,9.5547,1
ri_000024,1,1,Mr. William Thompson Sloper,,28,0,0,35.5,39.76,
ri_000025,0,3,Miss. Torborg Danira Palsson,female,8,3,1,,23.1825,5
ri_000026,1,3,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,,,1,5,31.3875,37.0373,7
ri_000027,0,3,Mr. Farred Chehab Emir,male,26,0,0,7.225,7.9475,1
ri_000028,0,1,Mr. Charles Alexander Fortune,male,19,3,2,263,302.45,6
ri_000029,1,3,Miss. Ellen O'Dwyer,female,24,0,0,7.8792,8.9035,1
ri_000030,0,3,Mr. Lalio Todoroff,male,,0,0,,9.2381,1
ri_000031,0,1,Don. Manuel E Uruchurtu,,40,0,0,27.7208,32.1561,
ri_000032,1,1,Mrs. William Augustus (Marie Eugenie) Spencer,female,,1,0,146.5208,162.6381,2
ri_000033,1,3,Miss. Mary Agatha Glynn,female,,0,,7.75,8.9125,
ri_000034,0,2,Mr. Edward H Wheadon,male,66,0,,10.5,11.55,1
ri_000035,0,1,Mr. Edgar Joseph Meyer,male,28,1,0,82.1708,96.1398,
ri_000036,0,1,Mr. Alexander Oskar Holverson,male,42,,0,,58.76,2
ri_000037,1,3,Mr. Hanna Mamee,male,18,0,0,7.2292,7.9521,
ri_000038,0,3,Mr. Ernest Charles Cann,male,21,0,0,8.05,9.2575,1
ri_000039,0,3,Miss. Augusta Maria Vander Planke,female,18,2,0,18,19.98,3
ri_000040,1,3,Miss. Jamila Nicola-Yarred,female,14,,0,11.2417,13.1528,2
ri_000041,0,3,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40,1,0,,11.0858,2
ri_000042,0,2,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,,27,1,0,21,24.36,2
ri_000043,1,2,Miss. Simonne Marie Anne Andree Laroche,female,,1,2,41.5792,47.4003,
ri_000044,1,3,Miss. Margaret Delia Devaney,female,19,0,0,,8.9823,1
ri_000045,0,3,Mr. William John Rogers,male,30,,0,8.05,9.499,1
ri_000046,0,3,Mr. Denis Lennon,,20,1,0,15.5,17.67,2
ri_000047,1,3,Miss. Bridget O'Driscoll,,,,0,7.75,9.0675,1
ri_000048,0,3,Mr. Youssef Samaan,male,,2,0,21.6792,25.5815,3
ri_000049,0,3,Mrs. Josef (Josefine Franchi) Arnold-Franchi,,18,1,0,17.8,21.004,2
ri_000050,0,3,Master. Juha Niilo Panula,male,7,4,1,39.6875,44.8469,6
ri_000051,0,3,Mr. Richard Cater Nosworthy,male,21,0,0,7.8,9.204,1
ri_000052,1,1,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49,1,0,76.7292,85.9367,2
ri_000053,1,2,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29,1,0,,30.68,2
ri_000054,0,1,Mr. Engelhart Cornelius Ostby,male,65,0,1,61.9792,68.1771,
ri_000055,1,1,Mr. Hugh Woolner,male,46,0,0,35.5,39.405,1
ri_000056,1,2,Miss. Emily Rugg,female,21,0,0,10.5,12.285,
ri_000057,0,3,Mr. Mansouer Novel,male,28.5,0,0,7.2292,8.6027,1
ri_000058,1,2,Miss. Constance Mirium West,female,5,,2,,33.0225,4
ri_000059,0,3,Master. William Frederick Goodwin,male,11,5,2,46.9,54.873,8
